base_currency,quote_currency,start_time,open_time,close_time,open_bid,open_ask,open_midpoint,close_bid,close_ask,close_midpoint,average_bid,average_ask,average_midpoint,high_bid,high_ask,high_midpoint,low_bid,low_ask,low_midpoint
USD,CAD,2020-12-03T00:00:00+00:00,2020-12-03T00:00:00+00:00,2020-12-03T23:59:59+00:00,1.29446,1.29446,1.29446,1.29142,1.29142,1.29142,1.29142,1.29142,1.29142,,,,,,
USD,CAD,2020-12-04T00:00:00+00:00,2020-12-04T00:00:00+00:00,2020-12-04T23:59:59+00:00,1.29142,1.29142,1.29142,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,,,,,,
USD,CAD,2020-12-05T00:00:00+00:00,2020-12-05T00:00:00+00:00,2020-12-05T23:59:59+00:00,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,,,,,,
USD,CAD,2020-12-06T00:00:00+00:00,2020-12-06T00:00:00+00:00,2020-12-06T23:59:59+00:00,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,1.28571,,,,,,
USD,CAD,2020-12-07T00:00:00+00:00,2020-12-07T00:00:00+00:00,2020-12-07T23:59:59+00:00,1.28571,1.28571,1.28571,1.28109,1.28109,1.28109,1.28109,1.28109,1.28109,,,,,,
USD,CAD,2020-12-08T00:00:00+00:00,2020-12-08T00:00:00+00:00,2020-12-08T23:59:59+00:00,1.28109,1.28109,1.28109,1.28017,1.28017,1.28017,1.28017,1.28017,1.28017,,,,,,
USD,CAD,2020-12-09T00:00:00+00:00,2020-12-09T00:00:00+00:00,2020-12-09T23:59:59+00:00,1.28017,1.28017,1.28017,1.27773,1.27773,1.27773,1.27773,1.27773,1.27773,,,,,,
USD,CAD,2020-12-10T00:00:00+00:00,2020-12-10T00:00:00+00:00,2020-12-10T23:59:59+00:00,1.27773,1.27773,1.27773,1.27577,1.27577,1.27577,1.27577,1.27577,1.27577,,,,,,
USD,CAD,2020-12-11T00:00:00+00:00,2020-12-11T00:00:00+00:00,2020-12-11T23:59:59+00:00,1.27577,1.27577,1.27577,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,,,,,,
USD,CAD,2020-12-12T00:00:00+00:00,2020-12-12T00:00:00+00:00,2020-12-12T23:59:59+00:00,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,,,,,,
USD,CAD,2020-12-13T00:00:00+00:00,2020-12-13T00:00:00+00:00,2020-12-13T23:59:59+00:00,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,1.27707,,,,,,
USD,CAD,2020-12-14T00:00:00+00:00,2020-12-14T00:00:00+00:00,2020-12-14T23:59:59+00:00,1.27707,1.27707,1.27707,1.27249,1.27249,1.27249,1.27249,1.27249,1.27249,,,,,,
USD,CAD,2020-12-15T00:00:00+00:00,2020-12-15T00:00:00+00:00,2020-12-15T23:59:59+00:00,1.27249,1.27249,1.27249,1.27455,1.27455,1.27455,1.27455,1.27455,1.27455,,,,,,
USD,CAD,2020-12-16T00:00:00+00:00,2020-12-16T00:00:00+00:00,2020-12-16T23:59:59+00:00,1.27455,1.27455,1.27455,1.27582,1.27582,1.27582,1.27582,1.27582,1.27582,,,,,,
USD,CAD,2020-12-17T00:00:00+00:00,2020-12-17T00:00:00+00:00,2020-12-17T23:59:59+00:00,1.27582,1.27582,1.27582,1.26948,1.26948,1.26948,1.26948,1.26948,1.26948,,,,,,
USD,CAD,2020-12-18T00:00:00+00:00,2020-12-18T00:00:00+00:00,2020-12-18T23:59:59+00:00,1.26948,1.26948,1.26948,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,,,,,,
USD,CAD,2020-12-19T00:00:00+00:00,2020-12-19T00:00:00+00:00,2020-12-19T23:59:59+00:00,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,,,,,,
USD,CAD,2020-12-20T00:00:00+00:00,2020-12-20T00:00:00+00:00,2020-12-20T23:59:59+00:00,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,1.27563,,,,,,
USD,CAD,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T23:59:59+00:00,1.27563,1.27563,1.27563,1.28859,1.28859,1.28859,1.28859,1.28859,1.28859,,,,,,
USD,CAD,2020-12-22T00:00:00+00:00,2020-12-22T00:00:00+00:00,2020-12-22T23:59:59+00:00,1.28859,1.28859,1.28859,1.28711,1.28711,1.28711,1.28711,1.28711,1.28711,,,,,,
USD,CAD,2020-12-23T00:00:00+00:00,2020-12-23T00:00:00+00:00,2020-12-23T23:59:59+00:00,1.28711,1.28711,1.28711,1.28810,1.28810,1.28810,1.28810,1.28810,1.28810,,,,,,
